n,time
30000,7180.8
40000,7650.4
50000,7760.7
60000,7790.2
70000,8070.7
80000,8100.9
90000,8230.7
100000,8410.5
130000,8600.1
180000,8880.1
190000,9010.6
200000,9070.2
210000,9240.6
220000,9290.9
230000,9540.2
240000,9600.1
250000,9700.9
260000,9860.8
270000,9970.1
280000,10100
290000,10300
300000,10600
310000,10600
320000,10800
330000,11000
340000,11000
350000,11100
360000,11400
370000,11500
380000,11500
390000,11700
400000,11600
410000,11900
420000,12200
430000,12200
440000,12300
450000,12500
460000,12500
470000,12700
480000,12700
490000,13100
500000,13100
510000,13200
520000,13300
530000,13400
540000,13500
550000,13600
560000,13800
570000,13900
580000,13900
590000,14200
600000,14800
610000,14900
620000,15200
630000,15100
640000,15300
650000,15300
660000,15500
670000,15600
680000,15700
690000,15900
700000,15900
710000,16100
